λ,T,Optical Density
1568,3.2209699999999998e-06,5.49201
1567,2.6283900000000003e-06,5.58031
1566,2.21071e-06,5.65547
1565,2.9483299999999998e-06,5.53042
1564,2.8793200000000002e-06,5.54071
1563,2.67969e-06,5.57192
1562,2.5385000000000003e-06,5.59542
1561,2.1657e-06,5.6644
1560,2.72644e-06,5.5644
1559,3.32551e-06,5.47814
1558,2.08865e-06,5.68013
1557,2.21037e-06,5.65554
1556,2.68483e-06,5.57108
1555,2.6877299999999997e-06,5.57061
1554,1.00963e-06,5.99584
1553,2.26775e-06,5.6444
1552,3.44462e-06,5.46286
1551,2.3765400000000003e-06,5.62406
1550,2.5285e-06,5.59714
1549,2.5657000000000003e-06,5.59079
1548,2.57316e-06,5.58953
1547,2.52232e-06,5.5982
1546,2.19696e-06,5.65818
1545,3.63792e-06,5.43915
1544,2.9180200000000004e-06,5.53491
1543,3.2321699999999998e-06,5.49051
1542,2.34842e-06,5.62922
1541,3.23215e-06,5.49051
1540,1.97868e-06,5.70363
1539,2.22992e-06,5.65171
1538,2.39726e-06,5.62029
1537,2.4813500000000004e-06,5.60531
1536,1.65324e-06,5.78167
1535,3.33896e-06,5.47639
1534,3.19829e-06,5.49508
1533,3.01254e-06,5.52107
1532,3.03633e-06,5.51765
1531,3.53125e-06,5.45207
1530,2.43471e-06,5.61355
1529,2.7239099999999997e-06,5.56481
1528,2.79861e-06,5.55306
1527,2.44462e-06,5.61179
1526,2.08642e-06,5.6806
1525,2.28779e-06,5.64058
1524,2.8977000000000002e-06,5.53795
1523,3.87801e-06,5.41139
1522,2.3263799999999997e-06,5.63332
1521,2.74022e-06,5.56221
1520,3.21494e-06,5.49283
1519,2.84895e-06,5.54532
1518,2.51817e-06,5.59892
1517,3.1900100000000002e-06,5.49621
1516,3.2533600000000002e-06,5.48767
1515,2.8421600000000002e-06,5.54635
1514,2.35597e-06,5.62783
1513,3.1152099999999997e-06,5.50651
1512,2.29118e-06,5.63994
1511,3.3786899999999997e-06,5.47125
1510,2.20283e-06,5.65702
1509,2.8709e-06,5.54198
1508,2.20912e-06,5.65578
1507,3.12623e-06,5.50498
1506,2.55762e-06,5.59216
1505,2.57788e-06,5.58874
1504,3.6176699999999997e-06,5.44157
1503,3.20694e-06,5.49391
1502,3.31842e-06,5.47907
1501,2.0393200000000002e-06,5.69051
1500,2.13148e-06,5.67132
1499,2.73188e-06,5.56354
1498,2.08908e-06,5.68004
1497,2.49601e-06,5.60275
1496,3.0572299999999997e-06,5.51467
1495,3.42613e-06,5.4652
1494,1.5832600000000001e-06,5.80045
1493,3.50175e-06,5.45572
1492,2.54929e-06,5.59358
